MODE,SP,N,GEN,PEKS,TRAPDOOR,TEST
bm,80,3,0.018383264541625977,0.01833319664001465,0.0068471431732177734,0.002580881118774414
bm,80,3,0.017121076583862305,0.0185701847076416,0.006830453872680664,0.0025177001953125
bm,80,3,0.019858837127685547,0.01826000213623047,0.0068585872650146484,0.0025377273559570312
bm,80,3,0.022484779357910156,0.018100976943969727,0.005964994430541992,0.0016765594482421875
bm,80,3,0.02124190330505371,0.02087712287902832,0.00731205940246582,0.0025377273559570312
bm,80,3,0.038745880126953125,0.01855754852294922,0.006738424301147461,0.002565622329711914
bm,80,3,0.053952693939208984,0.02057623863220215,0.007111787796020508,0.003117799758911133
bm,80,3,0.04899883270263672,0.017592668533325195,0.006433010101318359,0.0021839141845703125
bm,80,3,0.02055835723876953,0.017866134643554688,0.007061958312988281,0.0026655197143554688
bm,80,3,0.027779579162597656,0.021047592163085938,0.00782918930053711,0.0031425952911376953
bm,80,3,0.014646768569946289,0.015584468841552734,0.006933689117431641,0.0025701522827148438
bm,80,3,0.02255415916442871,0.02113628387451172,0.008524894714355469,0.002989053726196289
bm,80,3,0.0387418270111084,0.018834352493286133,0.0069506168365478516,0.0025501251220703125
bm,80,3,0.020684003829956055,0.01648116111755371,0.0068933963775634766,0.002586841583251953
bm,80,3,0.04213404655456543,0.014290809631347656,0.005937814712524414,0.0024535655975341797
bm,80,3,0.02314305305480957,0.021325111389160156,0.007643699645996094,0.002870321273803711
bm,80,3,0.015488386154174805,0.016875505447387695,0.006767749786376953,0.002357006072998047
bm,80,3,0.01749134063720703,0.018683195114135742,0.006831645965576172,0.002544403076171875
bm,80,3,0.02608966827392578,0.021315813064575195,0.0077800750732421875,0.0030710697174072266
bm,80,3,0.01417231559753418,0.01850438117980957,0.0071430206298828125,0.0026416778564453125
bm,80,3,0.03261828422546387,0.018805980682373047,0.006509304046630859,0.002391815185546875
bm,80,3,0.018665552139282227,0.018262863159179688,0.006261110305786133,0.0024416446685791016
bm,80,3,0.019060134887695312,0.018793821334838867,0.007857084274291992,0.0030722618103027344
bm,80,3,0.04579448699951172,0.01948833465576172,0.0064678192138671875,0.0026810169219970703
bm,80,3,0.027622222900390625,0.018200397491455078,0.006620645523071289,0.0024940967559814453
bm,80,3,0.017395734786987305,0.01736140251159668,0.00661158561706543,0.0024487972259521484
bm,80,3,0.018082857131958008,0.017559051513671875,0.0065495967864990234,0.0023458003997802734
bm,80,3,0.017523527145385742,0.018579483032226562,0.006956815719604492,0.002632617950439453
bm,80,3,0.02898573875427246,0.018749713897705078,0.006288051605224609,0.0023987293243408203
bm,80,3,0.023195505142211914,0.021440744400024414,0.007244110107421875,0.003030538558959961
bm,80,3,0.016672372817993164,0.0184171199798584,0.007089853286743164,0.0024962425231933594
bm,80,3,0.026793718338012695,0.018572568893432617,0.006997108459472656,0.002430438995361328
bm,80,3,0.03884577751159668,0.017914772033691406,0.00674748420715332,0.0024416446685791016
bm,80,3,0.01700878143310547,0.01950216293334961,0.006862163543701172,0.002542734146118164
bm,80,3,0.02370166778564453,0.01831221580505371,0.006926059722900391,0.0026006698608398438
bm,80,3,0.01764702796936035,0.019214630126953125,0.0068814754486083984,0.0025911331176757812
bm,80,3,0.017917871475219727,0.018198013305664062,0.0068776607513427734,0.0024323463439941406
bm,80,3,0.03739333152770996,0.020105600357055664,0.007637500762939453,0.0025103092193603516
bm,80,3,0.03178262710571289,0.01683187484741211,0.006493330001831055,0.0027391910552978516
bm,80,3,0.05677914619445801,0.01876974105834961,0.007002353668212891,0.002424001693725586
bm,80,3,0.029357194900512695,0.017927169799804688,0.006532192230224609,0.002358675003051758
bm,80,3,0.021317720413208008,0.018724918365478516,0.007070779800415039,0.00254058837890625
bm,80,3,0.02246403694152832,0.01832437515258789,0.00714874267578125,0.002458810806274414
bm,80,3,0.01624011993408203,0.01689457893371582,0.005362272262573242,0.001627206802368164
bm,80,3,0.021486282348632812,0.01906442642211914,0.006908416748046875,0.002607107162475586
bm,80,3,0.05604982376098633,0.01756882667541504,0.006279706954956055,0.0023827552795410156
bm,80,3,0.0474553108215332,0.014693498611450195,0.004873991012573242,0.0018346309661865234
bm,80,3,0.014289617538452148,0.014939546585083008,0.005881071090698242,0.0022301673889160156
bm,80,3,0.013957738876342773,0.011049985885620117,0.004104137420654297,0.0013623237609863281
bm,80,3,0.04007983207702637,0.010871648788452148,0.004042863845825195,0.0013282299041748047
bm,80,4,0.01843094825744629,0.027738332748413086,0.006935834884643555,0.0037689208984375
bm,80,4,0.024903059005737305,0.027179956436157227,0.005456447601318359,0.003685474395751953
bm,80,4,0.027050495147705078,0.02769017219543457,0.006824493408203125,0.003814697265625
bm,80,4,0.029914140701293945,0.0281064510345459,0.006916999816894531,0.0038962364196777344
bm,80,4,0.027793407440185547,0.027869224548339844,0.00692439079284668,0.004435539245605469
bm,80,4,0.04253530502319336,0.02731919288635254,0.0062983036041259766,0.0023381710052490234
bm,80,4,0.026944398880004883,0.027898311614990234,0.006886720657348633,0.004053592681884766
bm,80,4,0.04454541206359863,0.03166842460632324,0.007921695709228516,0.0046422481536865234
bm,80,4,0.020148038864135742,0.027085065841674805,0.006929159164428711,0.003730297088623047
bm,80,4,0.03286290168762207,0.027827024459838867,0.0068721771240234375,0.0037147998809814453
bm,80,4,0.026268482208251953,0.027867794036865234,0.006962299346923828,0.0038073062896728516
bm,80,4,0.01924586296081543,0.027647972106933594,0.00691986083984375,0.0037674903869628906
bm,80,4,0.03912997245788574,0.027973413467407227,0.006936550140380859,0.003665447235107422
bm,80,4,0.019507884979248047,0.027300357818603516,0.0060575008392333984,0.0023450851440429688
bm,80,4,0.030961036682128906,0.0278165340423584,0.006304502487182617,0.0035979747772216797
bm,80,4,0.019622325897216797,0.026949167251586914,0.005761384963989258,0.003417491912841797
bm,80,4,0.018568038940429688,0.02764272689819336,0.006798505783081055,0.003797292709350586
bm,80,4,0.019384145736694336,0.02765035629272461,0.006863594055175781,0.0037255287170410156
bm,80,4,0.026236295700073242,0.0279538631439209,0.006839275360107422,0.0037755966186523438
bm,80,4,0.03615593910217285,0.027252674102783203,0.0066928863525390625,0.0037212371826171875
bm,80,4,0.017670154571533203,0.026990175247192383,0.006808757781982422,0.0035736560821533203
bm,80,4,0.03173065185546875,0.025020122528076172,0.007053852081298828,0.0035445690155029297
bm,80,4,0.024434804916381836,0.028475522994995117,0.00696873664855957,0.0038721561431884766
bm,80,4,0.016444921493530273,0.028283119201660156,0.006903648376464844,0.0037980079650878906
bm,80,4,0.019562959671020508,0.03197908401489258,0.007677793502807617,0.004570960998535156
bm,80,4,0.01755809783935547,0.03101325035095215,0.007802009582519531,0.004698991775512695
bm,80,4,0.020951271057128906,0.027945280075073242,0.006888866424560547,0.0038535594940185547
bm,80,4,0.03625822067260742,0.027891874313354492,0.006786823272705078,0.002193927764892578
bm,80,4,0.01864314079284668,0.02758932113647461,0.006922721862792969,0.003782987594604492
bm,80,4,0.028288602828979492,0.027497053146362305,0.00638270378112793,0.003693819046020508
bm,80,4,0.021505117416381836,0.02711939811706543,0.007090091705322266,0.0038373470306396484
bm,80,4,0.03475308418273926,0.02677130699157715,0.006163358688354492,0.0032548904418945312
bm,80,4,0.016996145248413086,0.02791595458984375,0.006740570068359375,0.0038270950317382812
bm,80,4,0.017033815383911133,0.028114795684814453,0.006853580474853516,0.0037903785705566406
bm,80,4,0.04233360290527344,0.02812671661376953,0.0064716339111328125,0.0036025047302246094
bm,80,4,0.017320632934570312,0.028044939041137695,0.006816387176513672,0.0036962032318115234
bm,80,4,0.019055604934692383,0.027907371520996094,0.006764650344848633,0.003913164138793945
bm,80,4,0.03157997131347656,0.02288985252380371,0.00527644157409668,0.002294301986694336
bm,80,4,0.01897120475769043,0.032277584075927734,0.007806062698364258,0.0047032833099365234
bm,80,4,0.03953957557678223,0.028833627700805664,0.006437778472900391,0.0037751197814941406
bm,80,4,0.02594614028930664,0.028299570083618164,0.0069310665130615234,0.0037994384765625
bm,80,4,0.01793360710144043,0.026917457580566406,0.006613016128540039,0.003534078598022461
bm,80,4,0.015438556671142578,0.02842092514038086,0.006943225860595703,0.0038862228393554688
bm,80,4,0.020227670669555664,0.026955127716064453,0.0067424774169921875,0.003648996353149414
bm,80,4,0.025456905364990234,0.026928186416625977,0.00566864013671875,0.002293109893798828
bm,80,4,0.017992496490478516,0.028809309005737305,0.006811380386352539,0.003937482833862305
bm,80,4,0.022077560424804688,0.02675938606262207,0.0055789947509765625,0.0023899078369140625
bm,80,4,0.019313573837280273,0.025696277618408203,0.006417751312255859,0.004441976547241211
bm,80,4,0.012809276580810547,0.01847696304321289,0.0045354366302490234,0.0026438236236572266
bm,80,4,0.01092219352722168,0.01657557487487793,0.00421452522277832,0.002011537551879883
bm,80,6,0.016177892684936523,0.04623842239379883,0.0068206787109375,0.006222963333129883
bm,80,6,0.023018836975097656,0.04591226577758789,0.006632566452026367,0.005853414535522461
bm,80,6,0.022723913192749023,0.04597115516662598,0.006751298904418945,0.006203413009643555
bm,80,6,0.025049686431884766,0.04631352424621582,0.00689697265625,0.006283283233642578
bm,80,6,0.030945777893066406,0.04587745666503906,0.006531476974487305,0.005060434341430664
bm,80,6,0.018129348754882812,0.05247807502746582,0.007668018341064453,0.007876396179199219
bm,80,6,0.05338001251220703,0.045844078063964844,0.0063397884368896484,0.004114627838134766
bm,80,6,0.017621994018554688,0.04671597480773926,0.006340980529785156,0.005904436111450195
bm,80,6,0.015586614608764648,0.04665493965148926,0.006745815277099609,0.006284475326538086
bm,80,6,0.04754042625427246,0.04596710205078125,0.006906270980834961,0.006305694580078125
bm,80,6,0.015668630599975586,0.04606008529663086,0.006761789321899414,0.006269693374633789
bm,80,6,0.04367685317993164,0.044801950454711914,0.005721569061279297,0.005947113037109375
bm,80,6,0.032289981842041016,0.0463409423828125,0.006882667541503906,0.006252288818359375
bm,80,6,0.03790163993835449,0.05281782150268555,0.00754857063293457,0.0076808929443359375
bm,80,6,0.017285585403442383,0.0466761589050293,0.007257223129272461,0.005322456359863281
bm,80,6,0.056231021881103516,0.05324435234069824,0.007951974868774414,0.007624387741088867
bm,80,6,0.01886773109436035,0.045607566833496094,0.006888389587402344,0.00619959831237793
bm,80,6,0.02035689353942871,0.05115938186645508,0.007723808288574219,0.007624387741088867
bm,80,6,0.017338037490844727,0.04512906074523926,0.00688481330871582,0.0044345855712890625
bm,80,6,0.025792598724365234,0.04668092727661133,0.0068857669830322266,0.006255388259887695
bm,80,6,0.027242660522460938,0.04022407531738281,0.006129264831542969,0.005923748016357422
bm,80,6,0.03259706497192383,0.05270981788635254,0.005308628082275391,0.005230426788330078
bm,80,6,0.03285503387451172,0.045160770416259766,0.006692409515380859,0.0062198638916015625
bm,80,6,0.0232388973236084,0.043102264404296875,0.0050890445709228516,0.00423121452331543
bm,80,6,0.032628536224365234,0.04355049133300781,0.0068700313568115234,0.0062634944915771484
bm,80,6,0.021930694580078125,0.05225777626037598,0.007602214813232422,0.0076215267181396484
bm,80,6,0.018505096435546875,0.043981075286865234,0.006330251693725586,0.005976676940917969
bm,80,6,0.05279994010925293,0.04623126983642578,0.006771564483642578,0.006135225296020508
bm,80,6,0.031184911727905273,0.04467034339904785,0.006865739822387695,0.006429433822631836
bm,80,6,0.019463300704956055,0.0461273193359375,0.0057888031005859375,0.0049092769622802734
bm,80,6,0.02632617950439453,0.04487419128417969,0.007990121841430664,0.006260395050048828
bm,80,6,0.016236066818237305,0.04599905014038086,0.007042646408081055,0.0062444210052490234
bm,80,6,0.018431663513183594,0.044411659240722656,0.005964756011962891,0.005245208740234375
bm,80,6,0.023314237594604492,0.04491686820983887,0.006660938262939453,0.005876302719116211
bm,80,6,0.025206565856933594,0.04612088203430176,0.006877899169921875,0.006243705749511719
bm,80,6,0.017693519592285156,0.046309709548950195,0.006801605224609375,0.006306171417236328
bm,80,6,0.01690077781677246,0.04694485664367676,0.0064258575439453125,0.005710124969482422
bm,80,6,0.02054119110107422,0.04604363441467285,0.006229400634765625,0.005182743072509766
bm,80,6,0.022803068161010742,0.04712820053100586,0.00733637809753418,0.006018161773681641
bm,80,6,0.018562793731689453,0.04765725135803223,0.006717681884765625,0.005787849426269531
bm,80,6,0.01685357093811035,0.04575991630554199,0.006873607635498047,0.0059206485748291016
bm,80,6,0.02358841896057129,0.045169830322265625,0.006199359893798828,0.00524592399597168
bm,80,6,0.018619298934936523,0.0532376766204834,0.007637739181518555,0.007627725601196289
bm,80,6,0.0328364372253418,0.04671120643615723,0.006620645523071289,0.0059967041015625
bm,80,6,0.0422520637512207,0.0529630184173584,0.006249189376831055,0.007256984710693359
bm,80,6,0.025089740753173828,0.047199249267578125,0.0070760250091552734,0.005949735641479492
bm,80,6,0.059995412826538086,0.052559614181518555,0.007479667663574219,0.007668495178222656
bm,80,6,0.07946109771728516,0.028673171997070312,0.004303455352783203,0.0034945011138916016
bm,80,6,0.01887822151184082,0.02739119529724121,0.004043102264404297,0.0033712387084960938
bm,80,6,0.012093782424926758,0.02747488021850586,0.004034519195556641,0.003461599349975586
bm,80,10,0.017036914825439453,0.08424186706542969,0.006943702697753906,0.011291742324829102
bm,80,10,0.019835472106933594,0.0819852352142334,0.006647825241088867,0.011240005493164062
bm,80,10,0.028139114379882812,0.08251619338989258,0.006761074066162109,0.011056661605834961
bm,80,10,0.019623994827270508,0.09430170059204102,0.007561206817626953,0.013993978500366211
bm,80,10,0.0194852352142334,0.08262228965759277,0.006833076477050781,0.01135873794555664
bm,80,10,0.043833255767822266,0.08280491828918457,0.006192445755004883,0.009126901626586914
bm,80,10,0.025155305862426758,0.09271740913391113,0.006872892379760742,0.011053085327148438
bm,80,10,0.032867431640625,0.08212637901306152,0.006264686584472656,0.010610342025756836
bm,80,10,0.015234947204589844,0.08388400077819824,0.006842613220214844,0.011353492736816406
bm,80,10,0.024640321731567383,0.0829613208770752,0.0067446231842041016,0.011274576187133789
bm,80,10,0.020952463150024414,0.09449052810668945,0.007615327835083008,0.013841629028320312
bm,80,10,0.0213165283203125,0.08341312408447266,0.006989240646362305,0.009616613388061523
bm,80,10,0.027622699737548828,0.08310890197753906,0.006822824478149414,0.011304616928100586
bm,80,10,0.023242950439453125,0.09357810020446777,0.005395412445068359,0.009890079498291016
