MODE,SP,N,GEN,PEKS,TRAPDOOR,TEST
td,1024,3,0.2841672897338867,0.0020825862884521484,9.5367431640625e-07,0.0008704662322998047
td,1024,4,0.45119428634643555,0.002567291259765625,9.5367431640625e-07,0.001889944076538086
td,1024,6,0.38564324378967285,0.003300189971923828,9.5367431640625e-07,0.002183675765991211
td,1024,10,1.1358277797698975,0.005033016204833984,1.1920928955078125e-06,0.003971576690673828
td,1024,18,1.3459689617156982,0.008687734603881836,1.1920928955078125e-06,0.007208108901977539
td,1024,34,2.4648988246917725,0.020776987075805664,1.6689300537109375e-06,0.014278650283813477
td,1024,66,5.7033421993255615,0.030675888061523438,2.1457672119140625e-06,0.027055740356445312
td,1024,130,12.021216869354248,0.058268070220947266,2.1457672119140625e-06,0.057118892669677734
td,1024,258,23.026398181915283,0.11571884155273438,5.0067901611328125e-06,0.11511683464050293
td,1024,514,45.23913526535034,0.22777771949768066,5.4836273193359375e-06,0.22233366966247559
td,1024,1026,95.70223832130432,0.45844197273254395,8.821487426757812e-06,0.39032864570617676
td,1024,2050,185.3209662437439,0.9356908798217773,4.029273986816406e-05,0.9372420310974121
td,2048,3,0.7287290096282959,0.0030646324157714844,1.1920928955078125e-06,0.002605915069580078
td,2048,4,2.3140273094177246,0.0042476654052734375,1.9073486328125e-06,0.004433393478393555
td,2048,6,2.8581860065460205,0.00563359260559082,9.5367431640625e-07,0.006641864776611328
td,2048,10,5.243414402008057,0.01002192497253418,1.430511474609375e-06,0.011977672576904297
td,2048,18,7.308107137680054,0.016772747039794922,1.430511474609375e-06,0.019777297973632812
td,2048,34,15.146552562713623,0.036003828048706055,2.1457672119140625e-06,0.04123806953430176
td,2048,66,24.932611227035522,0.059510231018066406,2.384185791015625e-06,0.07870101928710938
td,2048,130,51.4136004447937,0.12061953544616699,2.956390380859375e-05,0.1619563102722168
td,2048,258,102.62039303779602,0.23886489868164062,3.0994415283203125e-06,0.3470790386199951
td,2048,514,218.45245790481567,0.4611954689025879,5.9604644775390625e-06,0.5817346572875977
td,2048,1026,417.92756819725037,0.9424154758453369,1.5497207641601562e-05,1.3980660438537598
td,2048,2050,821.523885011673,1.886064052581787,9.775161743164062e-06,2.7400786876678467
td,4096,3,12.527029037475586,0.00643157958984375,1.1920928955078125e-06,0.012891530990600586
td,4096,4,16.668290615081787,0.007666110992431641,9.5367431640625e-07,0.020212650299072266
td,4096,6,30.207257747650146,0.012707233428955078,1.430511474609375e-06,0.032806396484375
td,4096,10,31.94660234451294,0.021574735641479492,1.6689300537109375e-06,0.060821533203125
td,4096,18,68.31823182106018,0.03836679458618164,1.430511474609375e-06,0.1099398136138916
td,4096,34,134.07704997062683,0.07775592803955078,2.6226043701171875e-06,0.1949014663696289
td,4096,66,251.88384652137756,0.15023088455200195,2.6226043701171875e-06,0.32213854789733887
