MODE,SP,N,GEN,PEKS,TRAPDOOR,TEST
bm,80,3,0.011278152465820312,0.015798091888427734,0.0049517154693603516,0.0018150806427001953
bm,80,3,0.015103578567504883,0.016657352447509766,0.004861593246459961,0.00188446044921875
bm,80,3,0.010937929153442383,0.016756772994995117,0.0047626495361328125,0.001951456069946289
bm,80,3,0.015386343002319336,0.017403364181518555,0.004698753356933594,0.0011801719665527344
bm,80,3,0.018735885620117188,0.016963481903076172,0.004914522171020508,0.0018889904022216797
bm,80,3,0.03333926200866699,0.013408184051513672,0.003182649612426758,0.0009644031524658203
bm,80,3,0.0353398323059082,0.01578235626220703,0.005033731460571289,0.0016753673553466797
bm,80,3,0.02199554443359375,0.015614986419677734,0.004210472106933594,0.0017507076263427734
bm,80,3,0.029646873474121094,0.010812759399414062,0.003146648406982422,0.0009453296661376953
bm,80,3,0.01796889305114746,0.016438722610473633,0.004866123199462891,0.0018548965454101562
bm,80,3,0.012252092361450195,0.017505407333374023,0.005113840103149414,0.0018808841705322266
bm,80,3,0.024773120880126953,0.01922774314880371,0.004706382751464844,0.0011942386627197266
bm,80,3,0.01644110679626465,0.01714777946472168,0.005166053771972656,0.001489877700805664
bm,80,3,0.022454261779785156,0.01680588722229004,0.004937171936035156,0.0018401145935058594
bm,80,3,0.01622176170349121,0.017227649688720703,0.0054073333740234375,0.0021386146545410156
bm,80,3,0.01070547103881836,0.015095710754394531,0.0036306381225585938,0.0009703636169433594
bm,80,3,0.012943506240844727,0.016091108322143555,0.004880666732788086,0.0017547607421875
bm,80,3,0.023504972457885742,0.0163419246673584,0.004976987838745117,0.0018260478973388672
bm,80,3,0.013473987579345703,0.015883445739746094,0.0046155452728271484,0.0016150474548339844
bm,80,3,0.013174772262573242,0.0182039737701416,0.005337953567504883,0.0021355152130126953
bm,80,3,0.009246349334716797,0.014189958572387695,0.004407405853271484,0.0011131763458251953
bm,80,3,0.016957998275756836,0.015252351760864258,0.004259824752807617,0.0011234283447265625
bm,80,3,0.01578378677368164,0.016317367553710938,0.004843711853027344,0.0018315315246582031
bm,80,3,0.011956453323364258,0.014938831329345703,0.004001617431640625,0.001837015151977539
bm,80,3,0.021028757095336914,0.012755155563354492,0.003210306167602539,0.0014624595642089844
bm,80,3,0.01231527328491211,0.016313552856445312,0.005127429962158203,0.001764059066772461
bm,80,3,0.015293359756469727,0.018375396728515625,0.0055010318756103516,0.0023505687713623047
bm,80,3,0.013611316680908203,0.01645517349243164,0.0048389434814453125,0.001811981201171875
bm,80,3,0.021236181259155273,0.014891862869262695,0.005205631256103516,0.0021839141845703125
bm,80,3,0.021654844284057617,0.015597820281982422,0.003692150115966797,0.0010840892791748047
bm,80,3,0.026528358459472656,0.016531705856323242,0.004820108413696289,0.0017604827880859375
bm,80,3,0.011374235153198242,0.01543426513671875,0.003309488296508789,0.0011148452758789062
bm,80,3,0.013022184371948242,0.018124103546142578,0.005456209182739258,0.0021181106567382812
bm,80,3,0.017528295516967773,0.010383844375610352,0.0031375885009765625,0.0009713172912597656
bm,80,3,0.013656139373779297,0.016533374786376953,0.0035636425018310547,0.001688241958618164
bm,80,3,0.015479803085327148,0.016751766204833984,0.004950761795043945,0.0017437934875488281
bm,80,3,0.017765522003173828,0.016874313354492188,0.004472970962524414,0.0021953582763671875
bm,80,3,0.027451038360595703,0.016440868377685547,0.0046939849853515625,0.0011856555938720703
bm,80,3,0.01909160614013672,0.0162050724029541,0.0048007965087890625,0.0012347698211669922
bm,80,3,0.01861858367919922,0.01637411117553711,0.004876852035522461,0.0018339157104492188
bm,80,3,0.025534868240356445,0.014765739440917969,0.004903316497802734,0.0017826557159423828
bm,80,3,0.013710737228393555,0.016453027725219727,0.00481867790222168,0.0018079280853271484
bm,80,3,0.010500907897949219,0.01466679573059082,0.005515575408935547,0.0019061565399169922
bm,80,3,0.013653278350830078,0.015340328216552734,0.004489898681640625,0.0011899471282958984
bm,80,3,0.019527673721313477,0.01622319221496582,0.004998683929443359,0.0016283988952636719
bm,80,3,0.02388286590576172,0.016315460205078125,0.00492095947265625,0.0018184185028076172
bm,80,3,0.01415872573852539,0.0101776123046875,0.0031731128692626953,0.0009636878967285156
bm,80,3,0.008527517318725586,0.011165618896484375,0.0034139156341552734,0.0012359619140625
bm,80,3,0.011703968048095703,0.009995698928833008,0.003139495849609375,0.0009605884552001953
bm,80,3,0.011786222457885742,0.01009988784790039,0.00318145751953125,0.0009684562683105469
bm,80,4,0.010763883590698242,0.022283077239990234,0.004909515380859375,0.0027434825897216797
bm,80,4,0.026562213897705078,0.0220644474029541,0.0038182735443115234,0.0013849735260009766
bm,80,4,0.016662120819091797,0.02417922019958496,0.004906177520751953,0.002640247344970703
bm,80,4,0.02139759063720703,0.02277827262878418,0.005480527877807617,0.0027794837951660156
bm,80,4,0.037366390228271484,0.023078441619873047,0.004476070404052734,0.0024335384368896484
bm,80,4,0.013733625411987305,0.026370763778686523,0.005635976791381836,0.0035042762756347656
bm,80,4,0.024706602096557617,0.023755788803100586,0.004814863204956055,0.0022890567779541016
bm,80,4,0.01721358299255371,0.022463083267211914,0.004723310470581055,0.0026018619537353516
bm,80,4,0.013152837753295898,0.022504329681396484,0.004834413528442383,0.0022733211517333984
bm,80,4,0.016423940658569336,0.02317976951599121,0.004911184310913086,0.0027837753295898438
bm,80,4,0.013256072998046875,0.023655414581298828,0.0049359798431396484,0.0027132034301757812
bm,80,4,0.018877744674682617,0.019145488739013672,0.003482818603515625,0.00203704833984375
bm,80,4,0.017195463180541992,0.022691726684570312,0.004730939865112305,0.002574920654296875
bm,80,4,0.01341557502746582,0.025585174560546875,0.005446910858154297,0.003458261489868164
bm,80,4,0.018126964569091797,0.022227048873901367,0.004465341567993164,0.0024254322052001953
bm,80,4,0.01225733757019043,0.021756410598754883,0.0043811798095703125,0.00246429443359375
bm,80,4,0.015959978103637695,0.02318096160888672,0.00489497184753418,0.002733469009399414
