MODE,SP,N,GEN,PEKS,TRAPDOOR,TEST
bm,80,3,0.02437281608581543,0.016196012496948242,0.004831790924072266,0.0018334388732910156
bm,80,3,0.012220621109008789,0.017981290817260742,0.005422353744506836,0.0024764537811279297
bm,80,3,0.013399600982666016,0.0167539119720459,0.005478620529174805,0.0018711090087890625
bm,80,3,0.027268648147583008,0.015927791595458984,0.004815101623535156,0.0018165111541748047
bm,80,3,0.020116329193115234,0.017833232879638672,0.0049610137939453125,0.002010345458984375
bm,80,3,0.023505210876464844,0.01562809944152832,0.0043871402740478516,0.0016338825225830078
bm,80,3,0.017444849014282227,0.01737499237060547,0.004916667938232422,0.001970052719116211
bm,80,3,0.047185420989990234,0.015414714813232422,0.004674434661865234,0.0018568038940429688
bm,80,3,0.02208852767944336,0.01633763313293457,0.004998922348022461,0.0018253326416015625
bm,80,3,0.016367435455322266,0.016518592834472656,0.0046770572662353516,0.0018351078033447266
bm,80,3,0.01716923713684082,0.0164947509765625,0.004909992218017578,0.0017194747924804688
bm,80,3,0.022301197052001953,0.016355276107788086,0.004967212677001953,0.0018875598907470703
bm,80,3,0.04052901268005371,0.01947927474975586,0.0057830810546875,0.0022776126861572266
bm,80,3,0.015441656112670898,0.01678180694580078,0.0045566558837890625,0.0014657974243164062
bm,80,3,0.017071962356567383,0.01631784439086914,0.004839420318603516,0.0012624263763427734
bm,80,3,0.01502370834350586,0.01575493812561035,0.0048732757568359375,0.001775979995727539
bm,80,3,0.013977766036987305,0.018027782440185547,0.0059664249420166016,0.0022003650665283203
bm,80,3,0.020112037658691406,0.01664590835571289,0.004797697067260742,0.0017321109771728516
bm,80,3,0.029842853546142578,0.018375873565673828,0.00562739372253418,0.002209186553955078
bm,80,3,0.014815330505371094,0.016414642333984375,0.0049893856048583984,0.001873016357421875
bm,80,3,0.013484954833984375,0.017633914947509766,0.004991054534912109,0.0020589828491210938
bm,80,3,0.018838882446289062,0.016489505767822266,0.004803895950317383,0.0018129348754882812
bm,80,3,0.016521930694580078,0.017874479293823242,0.005410432815551758,0.002201080322265625
bm,80,3,0.011924505233764648,0.01620960235595703,0.004852771759033203,0.001804351806640625
bm,80,3,0.012708663940429688,0.016208648681640625,0.004857778549194336,0.0017571449279785156
bm,80,3,0.024325132369995117,0.016512155532836914,0.0047643184661865234,0.0017125606536865234
bm,80,3,0.017445087432861328,0.01653432846069336,0.0049169063568115234,0.0017960071563720703
bm,80,3,0.014552831649780273,0.016323089599609375,0.004681110382080078,0.0012683868408203125
bm,80,3,0.014467477798461914,0.01566314697265625,0.0052297115325927734,0.001861572265625
bm,80,3,0.02631211280822754,0.0169374942779541,0.004817962646484375,0.0017480850219726562
bm,80,3,0.012278318405151367,0.015475749969482422,0.0037784576416015625,0.001943349838256836
bm,80,3,0.011589527130126953,0.016742229461669922,0.004763126373291016,0.0018048286437988281
bm,80,3,0.022693395614624023,0.016881942749023438,0.004728078842163086,0.0018148422241210938
bm,80,3,0.012723922729492188,0.017999649047851562,0.005400896072387695,0.002191781997680664
bm,80,3,0.011316061019897461,0.016375303268432617,0.004807472229003906,0.001771688461303711
bm,80,3,0.01773691177368164,0.01808309555053711,0.005362272262573242,0.002120494842529297
bm,80,3,0.010825157165527344,0.01391291618347168,0.004730224609375,0.0017545223236083984
bm,80,3,0.01729273796081543,0.015076398849487305,0.003298521041870117,0.0013599395751953125
bm,80,3,0.013826847076416016,0.014773845672607422,0.004735469818115234,0.0017437934875488281
bm,80,3,0.011826515197753906,0.01639580726623535,0.004852771759033203,0.0018129348754882812
bm,80,3,0.023866653442382812,0.01633477210998535,0.004823207855224609,0.0018167495727539062
bm,80,3,0.011898994445800781,0.018013954162597656,0.005391836166381836,0.0021257400512695312
bm,80,3,0.009974956512451172,0.011039972305297852,0.0032014846801757812,0.0009551048278808594
bm,80,3,0.015310525894165039,0.016305208206176758,0.004821062088012695,0.0018146038055419922
bm,80,3,0.009441614151000977,0.011584997177124023,0.004857540130615234,0.0017895698547363281
bm,80,3,0.018144845962524414,0.012313604354858398,0.003555774688720703,0.001209259033203125
bm,80,3,0.00952601432800293,0.01061248779296875,0.003205537796020508,0.0012004375457763672
bm,80,3,0.018822908401489258,0.010135412216186523,0.003119945526123047,0.0009467601776123047
bm,80,3,0.008499383926391602,0.010295629501342773,0.0031938552856445312,0.0009679794311523438
bm,80,3,0.009670019149780273,0.010492801666259766,0.0033118724822998047,0.0008749961853027344
bm,80,4,0.012202978134155273,0.021466970443725586,0.004935741424560547,0.002789735794067383
bm,80,4,0.018440961837768555,0.021286725997924805,0.0049746036529541016,0.0026404857635498047
bm,80,4,0.01426839828491211,0.02270054817199707,0.0052187442779541016,0.002800464630126953
bm,80,4,0.038397789001464844,0.021396398544311523,0.003350973129272461,0.002682924270629883
bm,80,4,0.021600008010864258,0.023300647735595703,0.004606008529663086,0.002537250518798828
bm,80,4,0.03270912170410156,0.02124500274658203,0.004882335662841797,0.0025513172149658203
bm,80,4,0.041669368743896484,0.022874116897583008,0.00500178337097168,0.0028488636016845703
bm,80,4,0.05360817909240723,0.022680044174194336,0.004492044448852539,0.0024940967559814453
bm,80,4,0.015830039978027344,0.02346634864807129,0.00490880012512207,0.0027518272399902344
bm,80,4,0.023048877716064453,0.02252030372619629,0.004811763763427734,0.0023627281188964844
bm,80,4,0.013691902160644531,0.023035764694213867,0.004985809326171875,0.002732515335083008
bm,80,4,0.02780771255493164,0.022695302963256836,0.004870176315307617,0.002832174301147461
bm,80,4,0.016213178634643555,0.025092363357543945,0.004792451858520508,0.0033800601959228516
bm,80,4,0.014719724655151367,0.022399425506591797,0.004633188247680664,0.002403736114501953
bm,80,4,0.012505054473876953,0.026098012924194336,0.005999326705932617,0.0034410953521728516
bm,80,4,0.021005630493164062,0.023256540298461914,0.00453948974609375,0.002642393112182617
bm,80,4,0.015849590301513672,0.022401094436645508,0.004606962203979492,0.0023393630981445312
bm,80,4,0.013984918594360352,0.02516007423400879,0.0045528411865234375,0.0026345252990722656
bm,80,4,0.022358417510986328,0.023138046264648438,0.0048828125,0.002768278121948242
bm,80,4,0.013178110122680664,0.022538423538208008,0.004925727844238281,0.002741575241088867
bm,80,4,0.012080669403076172,0.022848844528198242,0.004468202590942383,0.001703023910522461
bm,80,4,0.02377629280090332,0.020475387573242188,0.004208564758300781,0.0018224716186523438
bm,80,4,0.02689814567565918,0.02025771141052246,0.004391193389892578,0.0026578903198242188
bm,80,4,0.017094850540161133,0.022687196731567383,0.004490375518798828,0.002537250518798828
bm,80,4,0.01532125473022461,0.022265195846557617,0.004486799240112305,0.002374887466430664
bm,80,4,0.01439213752746582,0.02339911460876465,0.004833698272705078,0.00252532958984375
bm,80,4,0.016403675079345703,0.02264547348022461,0.004923343658447266,0.0027730464935302734
bm,80,4,0.034934043884277344,0.022415876388549805,0.00460505485534668,0.002667665481567383
bm,80,4,0.010732889175415039,0.01722884178161621,0.004293918609619141,0.0016303062438964844
bm,80,4,0.020841360092163086,0.022777795791625977,0.004954338073730469,0.0029435157775878906
bm,80,4,0.04359102249145508,0.023148775100708008,0.004935026168823242,0.0031795501708984375
bm,80,4,0.03014063835144043,0.02169322967529297,0.004599094390869141,0.002373933792114258
bm,80,4,0.01123356819152832,0.022909164428710938,0.004887819290161133,0.002763032913208008
bm,80,4,0.012705802917480469,0.025487184524536133,0.005536794662475586,0.0031287670135498047
bm,80,4,0.017128944396972656,0.025850296020507812,0.005109071731567383,0.003069162368774414
bm,80,4,0.015421152114868164,0.02324509620666504,0.0056684017181396484,0.002919912338256836
bm,80,4,0.020456314086914062,0.023503541946411133,0.0050296783447265625,0.0027437210083007812
bm,80,4,0.013847112655639648,0.02686929702758789,0.004621982574462891,0.002618551254272461
bm,80,4,0.012666463851928711,0.020683765411376953,0.0049474239349365234,0.002573728561401367
bm,80,4,0.048271894454956055,0.022073984146118164,0.00518035888671875,0.0024938583374023438
bm,80,4,0.0122528076171875,0.025480985641479492,0.00543522834777832,0.0032105445861816406
bm,80,4,0.01337575912475586,0.02236008644104004,0.004757881164550781,0.0029697418212890625
bm,80,4,0.014643430709838867,0.023456811904907227,0.004774570465087891,0.0026345252990722656
bm,80,4,0.026242971420288086,0.019608736038208008,0.004429817199707031,0.00244903564453125
bm,80,4,0.024358034133911133,0.023085832595825195,0.005311250686645508,0.003220796585083008
bm,80,4,0.01303720474243164,0.02536463737487793,0.005814790725708008,0.0034317970275878906
bm,80,4,0.018764734268188477,0.024111032485961914,0.003953695297241211,0.002272367477416992
bm,80,4,0.012494564056396484,0.017918109893798828,0.0031714439392089844,0.0013780593872070312
bm,80,4,0.007615327835083008,0.013960123062133789,0.003026247024536133,0.0013005733489990234
bm,80,4,0.012423992156982422,0.015320301055908203,0.0034770965576171875,0.0016903877258300781
bm,80,6,0.02551746368408203,0.035800933837890625,0.004922389984130859,0.004932880401611328
bm,80,6,0.02077770233154297,0.03908896446228027,0.005515336990356445,0.0054895877838134766
bm,80,6,0.01936650276184082,0.03612160682678223,0.0049397945404052734,0.004532337188720703
bm,80,6,0.011321783065795898,0.03629732131958008,0.004662990570068359,0.00431370735168457
bm,80,6,0.019215106964111328,0.036295175552368164,0.004976987838745117,0.004088401794433594
bm,80,6,0.025606632232666016,0.036673784255981445,0.004983186721801758,0.004817008972167969
bm,80,6,0.015802383422851562,0.0364687442779541,0.0045032501220703125,0.00394749641418457
bm,80,6,0.036241769790649414,0.035154104232788086,0.004236698150634766,0.004498720169067383
bm,80,6,0.010543346405029297,0.035219669342041016,0.004729032516479492,0.00455474853515625
bm,80,6,0.01430058479309082,0.03569626808166504,0.004913806915283203,0.004457950592041016
bm,80,6,0.018459081649780273,0.03999185562133789,0.005189180374145508,0.005379199981689453
