MODE,SP,N,GEN,PEKS,TRAPDOOR,TEST
bm,80,3,0.008213520050048828,0.008625984191894531,0.0032596588134765625,0.0010190010070800781
bm,80,4,0.006652116775512695,0.011746883392333984,0.0030574798583984375,0.0013797283172607422
bm,80,6,0.008348226547241211,0.019188880920410156,0.002857208251953125,0.0020325183868408203
bm,80,10,0.012842178344726562,0.034483909606933594,0.0029175281524658203,0.003679513931274414
bm,80,18,0.012842655181884766,0.06520748138427734,0.002872467041015625,0.007138490676879883
bm,80,34,0.014464139938354492,0.12709903717041016,0.002964496612548828,0.013476133346557617
bm,80,66,0.021230697631835938,0.28997230529785156,0.0033996105194091797,0.03673148155212402
bm,80,130,0.014430999755859375,0.5032567977905273,0.0029730796813964844,0.05327630043029785
