MODE,SP,N,GEN,PEKS,TRAPDOOR,TEST
bm,80,3,0.012102127075195312,0.015575647354125977,0.004937887191772461,0.0018575191497802734
bm,80,3,0.013602018356323242,0.01838517189025879,0.005722761154174805,0.002124309539794922
bm,80,3,0.013454198837280273,0.01779794692993164,0.0054662227630615234,0.002199888229370117
bm,80,3,0.022213459014892578,0.015501022338867188,0.0035736560821533203,0.0016713142395019531
bm,80,3,0.018822669982910156,0.01609945297241211,0.004251956939697266,0.00174713134765625
bm,80,3,0.02293539047241211,0.03230643272399902,0.005748271942138672,0.0021932125091552734
bm,80,3,0.022624731063842773,0.016249656677246094,0.004382610321044922,0.0016498565673828125
bm,80,3,0.030768394470214844,0.014994144439697266,0.004130125045776367,0.001833200454711914
bm,80,3,0.017865896224975586,0.016339540481567383,0.004805803298950195,0.0017886161804199219
bm,80,3,0.01301884651184082,0.016139984130859375,0.004910945892333984,0.003427267074584961
bm,80,3,0.018496274948120117,0.016335487365722656,0.004934787750244141,0.001798391342163086
bm,80,3,0.027688980102539062,0.015367269515991211,0.003956794738769531,0.0009832382202148438
bm,80,3,0.013231992721557617,0.016064882278442383,0.004819154739379883,0.0018110275268554688
bm,80,3,0.02188277244567871,0.015243768692016602,0.0043103694915771484,0.0017185211181640625
bm,80,3,0.015453338623046875,0.01705765724182129,0.004985332489013672,0.002222299575805664
bm,80,3,0.0160677433013916,0.018279075622558594,0.005310535430908203,0.002152681350708008
bm,80,3,0.016111373901367188,0.01822185516357422,0.005561113357543945,0.0021157264709472656
bm,80,3,0.016465425491333008,0.01530146598815918,0.0038917064666748047,0.0018622875213623047
bm,80,3,0.012052059173583984,0.016446828842163086,0.0049915313720703125,0.0018534660339355469
bm,80,3,0.01633429527282715,0.016208410263061523,0.00448298454284668,0.0017299652099609375
bm,80,3,0.019074201583862305,0.018198013305664062,0.0055654048919677734,0.0022706985473632812
bm,80,3,0.020308256149291992,0.016605377197265625,0.005064487457275391,0.0019233226776123047
bm,80,3,0.016529560089111328,0.01627945899963379,0.004764556884765625,0.001756429672241211
bm,80,3,0.016692161560058594,0.01676654815673828,0.005023956298828125,0.00179290771484375
bm,80,3,0.011992931365966797,0.018338918685913086,0.005608797073364258,0.002115011215209961
bm,80,3,0.027373075485229492,0.01135563850402832,0.00478363037109375,0.0012154579162597656
bm,80,3,0.012194633483886719,0.018260478973388672,0.005373239517211914,0.002147674560546875
bm,80,3,0.014885187149047852,0.015807390213012695,0.004915714263916016,0.001840829849243164
bm,80,3,0.042203426361083984,0.01593923568725586,0.0048906803131103516,0.0018053054809570312
bm,80,3,0.019724369049072266,0.015459060668945312,0.004882335662841797,0.0017652511596679688
bm,80,3,0.01007843017578125,0.013630867004394531,0.004682302474975586,0.0018551349639892578
bm,80,3,0.014325141906738281,0.010483980178833008,0.0031790733337402344,0.0009629726409912109
bm,80,3,0.01989126205444336,0.017961978912353516,0.0053005218505859375,0.0021581649780273438
bm,80,3,0.028474807739257812,0.01830601692199707,0.004894733428955078,0.0017287731170654297
bm,80,3,0.016202211380004883,0.016777515411376953,0.005029201507568359,0.0017633438110351562
bm,80,3,0.012008190155029297,0.015551090240478516,0.004302978515625,0.0015614032745361328
bm,80,3,0.011085748672485352,0.014089584350585938,0.0047528743743896484,0.0010333061218261719
bm,80,3,0.026297569274902344,0.01846003532409668,0.005824565887451172,0.0023033618927001953
bm,80,3,0.01702284812927246,0.01567673683166504,0.004090070724487305,0.0014882087707519531
bm,80,3,0.01845240592956543,0.016412973403930664,0.004927158355712891,0.0018405914306640625
bm,80,3,0.025501489639282227,0.017049074172973633,0.004662275314331055,0.0016779899597167969
bm,80,3,0.019501209259033203,0.016983509063720703,0.004839181900024414,0.0017573833465576172
bm,80,3,0.018743038177490234,0.014282464981079102,0.0044918060302734375,0.0012712478637695312
bm,80,3,0.015166997909545898,0.0166776180267334,0.005131244659423828,0.0018870830535888672
bm,80,3,0.013667583465576172,0.015351533889770508,0.0035724639892578125,0.0009515285491943359
bm,80,3,0.014063358306884766,0.01807999610900879,0.005419254302978516,0.0021474361419677734
bm,80,3,0.01082921028137207,0.01038670539855957,0.003458738327026367,0.0011801719665527344
bm,80,3,0.009856939315795898,0.015680551528930664,0.0031702518463134766,0.0009341239929199219
bm,80,3,0.009678125381469727,0.010376930236816406,0.003091096878051758,0.0011169910430908203
bm,80,3,0.01482534408569336,0.01023721694946289,0.0034461021423339844,0.0009489059448242188
bm,80,4,0.010825634002685547,0.02061009407043457,0.005163908004760742,0.002691030502319336
